CustomerID,CustomerName,Region,SignupDate,TotalSpending,TotalTransactions,AvgSpending,Cluster
C0090,Charles Hamilton,Asia,2023-10-17,4138.16,7.0,591.1657142857142,0
C0091,Lisa Kirk,South America,2023-03-16,3137.66,6.0,522.9433333333333,1
C0092,Jacqueline Zamora,Asia,2024-05-29,3015.95,4.0,753.9875,3
C0093,Nancy Walker,Asia,2024-07-13,5294.99,9.0,588.3322222222222,0
C0094,Emily Trevino,North America,2023-09-16,1166.97,4.0,291.7425,1
C0095,William Walker,South America,2023-03-04,1284.27,2.0,642.135,3
C0096,Benjamin Mcclure,South America,2022-11-18,6072.92,5.0,1214.584,2
C0097,Tina Ford,Asia,2023-12-18,137.54,1.0,137.54,1
C0098,Laura Gilbert,North America,2024-10-21,3158.02,8.0,394.7525,1
C0099,Rodney Eaton,South America,2023-01-29,6715.72,8.0,839.465,0
C0100,Clinton Gomez,Europe,2023-03-16,5003.45,6.0,833.9083333333333,0
C0101,Kelsey Roberts,Asia,2023-09-30,5550.99,8.0,693.87375,0
C0102,Michael Atkinson,South America,2022-09-16,6132.360000000001,8.0,766.5450000000001,0
C0103,Jennifer Munoz,Europe,2022-05-15,2462.5499999999997,5.0,492.50999999999993,1
C0104,Laura Bennett,South America,2022-02-10,6579.1,8.0,822.3875,0
C0105,Ryan Hampton,Europe,2024-11-11,4807.45,6.0,801.2416666666667,0
C0106,Amanda Mcguire,Asia,2022-09-22,2939.3,5.0,587.86,1
C0107,Dana Cantrell,South America,2023-02-07,3623.92,5.0,724.784,3
C0108,David Davis,South America,2022-09-28,4848.54,7.0,692.6485714285715,0
C0109,Abigail Jones,North America,2022-05-09,5487.25,11.0,498.84090909090907,0
C0110,Elizabeth Wells,Asia,2024-09-21,942.32,1.0,942.32,3
C0111,Roger David,Europe,2024-11-13,1973.02,5.0,394.604,1
C0112,Brian Adkins,South America,2022-07-07,1959.51,3.0,653.17,3
C0113,Joseph Ortiz Jr.,South America,2022-06-17,4812.1,8.0,601.5125,0
C0114,Benjamin Anderson,Europe,2024-11-18,5780.43,5.0,1156.086,2
C0115,Joshua Hamilton,Asia,2024-11-11,3137.18,3.0,1045.7266666666667,2
C0116,James Martinez,North America,2024-09-11,2758.6800000000003,6.0,459.78000000000003,1
C0117,Jeffrey Mcmahon,North America,2024-11-22,4028.2700000000004,4.0,1007.0675000000001,2
C0118,Jacob Holt,South America,2022-01-22,3434.77,6.0,572.4616666666667,1
C0119,David Armstrong,Europe,2023-11-13,1191.61,5.0,238.32199999999997,1
C0120,Francisco Diaz,South America,2023-01-13,2470.02,3.0,823.34,3
C0121,Mark Atkinson,Europe,2023-07-23,974.52,4.0,243.63,1
C0122,Corey Ruiz,North America,2022-05-06,5072.55,7.0,724.65,0
C0123,Jason Johnston,Asia,2023-11-05,1400.06,2.0,700.03,3
C0124,Lindsay Perez,Europe,2024-08-26,4264.33,7.0,609.1899999999999,0
C0125,Nicholas Taylor,North America,2022-12-18,2973.96,4.0,743.49,3
C0126,Caitlin Brown,South America,2024-02-20,4565.57,6.0,760.9283333333333,0
C0127,Kathryn Stevens,Europe,2024-04-04,3232.88,6.0,538.8133333333334,1
C0128,Henry Leach,Asia,2023-05-29,773.19,2.0,386.595,1
C0129,Marcus Livingston,South America,2024-04-14,2339.61,3.0,779.87,3
C0130,Robert Jones,South America,2023-04-19,601.36,1.0,601.36,3
C0131,Scott Wilson,North America,2022-06-05,1943.82,3.0,647.9399999999999,3
C0132,Lisa Jackson,Europe,2023-02-01,1851.2599999999998,3.0,617.0866666666666,3
C0133,Gwendolyn Carter,South America,2023-03-11,2884.33,4.0,721.0825,3
C0134,Theresa Gonzalez,Asia,2022-02-19,2679.28,5.0,535.856,1
C0135,Toni Weaver,Europe,2022-08-23,3135.58,4.0,783.895,3
C0136,Kristen Holder,Asia,2024-03-14,4298.99,6.0,716.4983333333333,0
C0137,Robert Gardner,South America,2024-04-09,3332.55,5.0,666.51,3
C0138,Cynthia Clayton,Asia,2024-11-01,5610.25,5.0,1122.05,2
C0139,Ricky Gutierrez,North America,2022-03-14,3703.64,8.0,462.955,0
C0140,Gregory Estrada,Asia,2023-07-01,1888.1399999999999,2.0,944.0699999999999,3
C0141,Paul Parsons,Europe,2023-02-23,10673.869999999999,10.0,1067.387,0
C0142,Nicole Long DVM,Asia,2024-02-08,2239.04,4.0,559.76,1
C0143,Brian Parker,Asia,2024-05-27,6044.63,7.0,863.5185714285715,0
C0144,Andrea Hart,North America,2024-09-30,1304.6799999999998,2.0,652.3399999999999,3
C0145,Wayne Stone,Asia,2023-01-13,5771.27,8.0,721.40875,0
C0146,Brittany Harvey,Asia,2024-09-04,2570.8,4.0,642.7,3
C0147,Hunter Fuller,South America,2022-05-16,2948.44,9.0,327.6044444444444,1
C0148,Matthew Rogers,South America,2023-04-16,5457.79,5.0,1091.558,2
C0149,Tina Wilson,Europe,2023-01-21,4404.78,5.0,880.9559999999999,2
C0150,Angela Williams,South America,2022-09-13,580.34,1.0,580.34,3
C0151,Amber Gonzalez,South America,2024-11-22,223.96,1.0,223.96,1
C0152,Justin Evans,South America,2022-04-19,3385.8599999999997,5.0,677.1719999999999,3
C0153,Justin Smith,South America,2022-03-20,4744.79,6.0,790.7983333333333,0
C0154,Robert Sharp,North America,2024-10-27,3703.61,6.0,617.2683333333333,0
C0155,Michelle Brown,South America,2023-03-23,5377.83,7.0,768.2614285714286,0
C0156,William Adams,North America,2023-08-19,7634.45,11.0,694.040909090909,0
C0157,Miguel Wong,North America,2024-01-30,1876.1,5.0,375.21999999999997,1
C0158,Wendy Browning,South America,2023-04-12,3716.52,4.0,929.13,2
C0159,Austin Miller,Asia,2022-08-06,2072.41,3.0,690.8033333333333,3
C0160,Jodi Cook,North America,2022-04-05,2926.93,5.0,585.386,1
C0161,Jessica Warren,Asia,2022-03-14,3141.83,8.0,392.72875,1
C0162,Edwin Watson,Asia,2022-03-29,4802.24,8.0,600.28,0
C0163,Tiffany Cain,South America,2023-06-08,5775.28,6.0,962.5466666666666,0
C0164,Morgan Perez,Europe,2023-06-01,3087.69,5.0,617.538,1
C0165,Juan Mcdaniel,South America,2022-04-09,6708.1,9.0,745.3444444444444,0
C0166,John Rogers,Europe,2022-02-13,2405.3500000000004,4.0,601.3375000000001,3
C0167,Brandy Welch,Europe,2024-01-27,2300.42,3.0,766.8066666666667,3
C0168,Karen Clements MD,South America,2022-12-13,5053.83,4.0,1263.4575,2
C0169,Jennifer Shaw,South America,2023-04-13,4533.32,6.0,755.5533333333333,0
C0170,Logan Harris,Europe,2023-09-13,4931.74,5.0,986.348,2
C0171,Michael Cowan,South America,2022-12-16,5145.35,5.0,1029.0700000000002,2
C0172,Jamie Webb,Europe,2024-09-09,2201.7,6.0,366.95,1
C0173,Francisco Young,Asia,2022-10-06,5808.04,8.0,726.005,0
C0174,Tracy Steele,South America,2022-11-03,2891.95,5.0,578.39,1
C0175,Matthew Johnson,Asia,2022-04-16,6210.53,10.0,621.053,0
C0176,Nicole Booth,North America,2022-03-23,2331.32,3.0,777.1066666666667,3
C0177,Julia Kelly,Asia,2024-06-01,2509.81,4.0,627.4525,3
C0178,Carol Williams,Asia,2023-11-19,2708.83,4.0,677.2075,3
C0179,Donald Miller,Europe,2022-10-16,3652.83,6.0,608.805,1
C0181,Alexander Barker,South America,2023-11-16,3347.6000000000004,6.0,557.9333333333334,1
C0182,Joshua Preston,Europe,2024-12-28,4980.7699999999995,5.0,996.1539999999999,2
C0183,Kimberly Johnson,North America,2024-01-23,3850.2200000000003,5.0,770.0440000000001,3
C0184,Tina Jacobs,South America,2022-05-13,3393.1800000000003,7.0,484.74000000000007,1
C0185,Kathleen Logan,North America,2023-10-17,3424.3199999999997,3.0,1141.4399999999998,2
C0186,Amber Alexander,Asia,2023-10-11,1761.6399999999999,3.0,587.2133333333333,3
C0187,Kayla Kelly,South America,2024-08-02,4612.44,5.0,922.4879999999999,2
C0188,Anna Ball,South America,2022-05-17,7111.320000000001,8.0,888.9150000000001,0
C0189,Sherri Dixon,North America,2024-01-22,2643.21,5.0,528.642,1
C0190,Alexander Lowe,South America,2024-05-31,2983.02,5.0,596.604,1
C0191,Samantha Gibson DVM,South America,2024-04-07,2997.9700000000003,5.0,599.594,1
C0192,Sarah Arias,South America,2022-09-15,2072.7200000000003,4.0,518.1800000000001,1
C0193,Douglas Torres,Asia,2023-02-03,3009.2900000000004,4.0,752.3225000000001,3
C0194,Stacy Cook,North America,2024-05-04,3869.17,7.0,552.7385714285714,0
C0195,Jeremy Mclaughlin,South America,2024-09-17,4036.27,6.0,672.7116666666667,0
C0196,Laura Watts,Europe,2022-06-07,4982.88,4.0,1245.72,2
C0197,Christina Harvey,Europe,2023-03-21,1928.65,3.0,642.8833333333333,3
C0198,Rebecca Ray,Europe,2022-02-27,931.83,2.0,465.915,1
C0199,Andrea Jenkins,Europe,2022-12-03,1979.28,4.0,494.82,1
C0200,Kelly Cross,Asia,2023-06-11,4758.6,5.0,951.72,2
